ticker,2800.HK,3067.HK,ACWI,AGG,BABA,BIL,BRK.B,CNYA,DBC,DBMF,EEM,EMB,EWJ,EWS,EWY,GLD,GOOGL,HYG,IGIB,INDA,JD,LQD,MSFT,NVDA,PDD,QAI,QQQ,SPY,TLT,VNQ
2800.HK,1.0,0.9188749402244666,0.472271595900667,0.2836440946569019,0.7416305394881942,0.04549200683602943,0.21208775845579209,0.7353403984893361,0.26252059183797066,-0.19808766141843878,0.7492896725952123,0.47939249393161426,0.43398385861197925,0.6241264142925886,0.46525178469717465,0.3018888685385763,0.27817642387899105,0.3360803351581636,0.3716197583868394,0.2903766895130986,0.6275624915358137,0.3708679282922765,0.2713820504025002,0.21408901282927978,0.4905679675567882,0.4350792995635299,0.3317954120979703,0.3565080151320381,0.16114923648183935,0.30863315264164004
3067.HK,0.9188749402244666,1.0,0.29744899316059503,0.35872442882577027,0.7948967899481938,0.05566665949194278,-0.03372835115328519,0.7640608061396944,0.04181090706118028,-0.2049916420750021,0.643196435804106,0.4448298397883737,0.26981535000603835,0.4429066430976041,0.2900365740007929,0.3088626767769239,0.1835545622495527,0.20492893638455648,0.36822530479704174,0.016255884005105015,0.7893404035738066,0.37104389094743967,0.18023349940298292,0.1356979035254591,0.602617820177487,0.32471363268325354,0.1950173745696891,0.1842634860752742,0.35235065232282803,0.2221121229618374
ACWI,0.472271595900667,0.29744899316059503,1.0,0.4752445532980435,0.3347550792036259,0.16313240738127607,0.6424223729272684,0.46562845855456,0.4203606824529384,-0.1232086837278088,0.8115335221289774,0.7896128683727623,0.8261337121207823,0.7567137290884783,0.7263177391595146,0.23037611768923708,0.6462283551912307,0.8543193644643482,0.6812647636851157,0.5841614099355446,0.27269294033552965,0.6688311681736139,0.6429548720693875,0.5653374293191126,0.25573076911298526,0.8753275972385036,0.8858203434122353,0.9695270766253057,0.2258556745681409,0.8064076619487073
AGG,0.2836440946569019,0.35872442882577027,0.4752445532980435,1.0,0.2957803086254367,0.2356608463618606,0.21537577409305514,0.2933031333822189,-0.10825432528017165,-0.24696841729868807,0.4659746743979823,0.704106315959212,0.49150420503455666,0.3524015975017335,0.42528080224223946,0.44443975956016807,0.2966158261064019,0.5890236564938311,0.8878492286569135,0.28061093315646624,0.28200094550942845,0.931373057578566,0.3292739819195436,0.249581017781869,0.22012575545385826,0.5087832762305469,0.44362203641847875,0.40473100453352107,0.8979706770724022,0.5680334778033873
BABA,0.7416305394881942,0.7948967899481938,0.3347550792036259,0.2957803086254367,1.0,0.20595704926852784,0.12501566657655447,0.5996881749164858,0.15984951895762683,-0.044678745272620224,0.5830486651484591,0.37614180130835023,0.32280768669586646,0.42193491019241375,0.29789719334781456,0.3256164673734145,0.25273387335422576,0.24854678347734163,0.3126226503155405,0.07566747135780029,0.6097040059159909,0.32207059176815145,0.18100929066433893,0.19512150423670724,0.39991582591570807,0.38986578502964536,0.26409078610900844,0.24135138109476015,0.24016782635224287,0.22589434417655738
BIL,0.04549200683602943,0.05566665949194278,0.16313240738127607,0.2356608463618606,0.20595704926852784,1.0,0.01878803105953964,0.03828337669225925,0.13793944357169882,0.18174341966262256,0.17497754066126917,0.171900857005626,0.26149199835763753,0.1681698699297411,0.1506041034120253,0.2920482218713902,0.21859768195006374,0.19751346267492198,0.22133247162283776,-0.0620687541612439,0.013991206230893985,0.2036595481779425,0.025578145966032487,0.09919421750581901,0.03232114362890961,0.43981033198797753,0.14103691579471653,0.12726977386961882,0.13121949098901822,0.10613510603959646
BRK.B,0.21208775845579209,-0.03372835115328519,0.6424223729272684,0.21537577409305514,0.12501566657655447,0.01878803105953964,1.0,0.16319556905288088,0.32381176824641456,-0.07084455382138445,0.3891411299278982,0.43583687202690075,0.5411531609544769,0.5211617277781523,0.2934973161007928,0.12274303819057464,0.20048510328885016,0.5588485436091539,0.3378414030140047,0.4237498366112299,-0.013734354238370211,0.3484817499344591,0.3192970211661912,0.3123190430230859,-0.028017363643415324,0.507039026421407,0.4552213174746303,0.6423223140336289,0.046706303106981276,0.554970363883287
CNYA,0.7353403984893361,0.7640608061396944,0.46562845855456,0.2933031333822189,0.5996881749164858,0.03828337669225925,0.16319556905288088,1.0,0.2491028063083534,-0.15776569566870924,0.6858645308074925,0.4527732650485487,0.43833010386378607,0.5198263211183993,0.4359992969137236,0.319740757203048,0.2869285001610059,0.364857927098175,0.3908868276333969,0.21476110910805962,0.5557144525531105,0.3801250015955746,0.2337560898037467,0.29987197445142244,0.47038273931273333,0.5017240419165787,0.3544669241974635,0.36957287074501377,0.1785033766355645,0.29231926793415136
DBC,0.26252059183797066,0.04181090706118028,0.4203606824529384,-0.10825432528017165,0.15984951895762683,0.13793944357169882,0.32381176824641456,0.2491028063083534,1.0,0.1615956987884263,0.3961114466428753,0.27801663320196124,0.3283225806255327,0.4198903436540425,0.357622856143487,0.01263733371523194,0.24144619356560296,0.37126236083372066,0.10900819895515795,0.17754994250571515,0.15263574452249767,0.08372070007215708,0.08014849165213321,0.16309154210587617,0.12818473157965074,0.4622791431974158,0.24502100202799101,0.377080353625529,-0.2702716670004423,0.3086325434037022
DBMF,-0.19808766141843878,-0.2049916420750021,-0.1232086837278088,-0.24696841729868807,-0.044678745272620224,0.18174341966262256,-0.07084455382138445,-0.15776569566870924,0.1615956987884263,1.0,-0.09148791051321213,-0.2601194863507092,-0.11480168086262683,-0.05854064638250731,0.016012039007663948,0.09133646607798024,-0.0007407064812775888,-0.23843886456952948,-0.25958226198351503,0.0114844961526879,-0.13985031581808527,-0.27069022140874516,-0.21984968323174361,-0.23208687533925168,-0.03494357609907416,0.05500047347569201,-0.16770067596975158,-0.12104309370387312,-0.10890315126254917,-0.07879052738189186
EEM,0.7492896725952123,0.643196435804106,0.8115335221289774,0.4659746743979823,0.5830486651484591,0.17497754066126917,0.3891411299278982,0.6858645308074925,0.3961114466428753,-0.09148791051321213,1.0,0.7627219054116524,0.7637365467058139,0.7515000776642162,0.8317590677450585,0.4129930173975631,0.5360395542060585,0.6825539506074799,0.6287827054614534,0.597352684115062,0.47676550204391627,0.609373917322239,0.42087192534371864,0.3804091473642589,0.458667058778919,0.7877742585548183,0.6488076206352416,0.6872973679936766,0.24752576527036055,0.5971235190511917
EMB,0.47939249393161426,0.4448298397883737,0.7896128683727623,0.704106315959212,0.37614180130835023,0.171900857005626,0.43583687202690075,0.4527732650485487,0.27801663320196124,-0.2601194863507092,0.7627219054116524,1.0,0.6785859516182696,0.6329362807643326,0.6087021817705788,0.4050878726303637,0.46516454845517374,0.8468641072526187,0.8810702494152255,0.5451550214278401,0.3391398335726395,0.8642414306150488,0.44257571210951635,0.360819925612677,0.3621097090888984,0.7535522127025052,0.646181802736033,0.7080437221787689,0.46212396863786703,0.7321415496496989
